PROVINSI,CMR
ACEH,3.47
SUMATERA UTARA,3.10,
SUMATERA BARAT,2.84
RIAU,2.55
JAMBI,2.99
SUMATERA SELATAN,2.84
BENGKULU,3.65
LAMPUNG,2.61
KEPULAUAN BANGKA BELITUNG,2.92
KEPULAUAN RIAU,2.12
DKI JAKARTA,1.64
JAWA BARAT,2.35
JAWA TENGAH,2.04
DI YOGYAKARTA,1.72
JAWA TIMUR,2.16
BANTEN,2.32,-6.403768475223644, 106.0640165325953
BALI,2.11,-8.40594950843389, 115.18891464103835
NUSA TENGGARA BARAT,4.73
NUSA TENGGARA TIMUR,5.05
KALIMANTAN BARAT,2.97
KALIMANTAN TENGAH,3.24
KALIMANTAN SELATAN,2.87
KALIMANTAN TIMUR,2.53
KALIMANTAN UTARA,2.78
SULAWESI UTARA,3.17
SULAWESI TENGAH,5.72
SULAWESI SELATAN,3.29
SULAWESI TENGGARA,4.64
GORONTALO,6.39
SULAWESI BARAT,6.28
MALUKU,6.72
MALUKU UTARA,5.98
PAPUA BARAT,10.17
PAPUA,10.88
